"item_id","location_id","_date"
"500-062940",14,"2022-01-01"
"500-066582",14,"2022-01-01"
"500-024828",14,"2022-01-01"
"500-063162",14,"2022-01-01"
"500-051457",14,"2022-01-01"
"500-031730",14,"2022-01-01"
"500-016563",14,"2022-01-01"
"500-008311",14,"2022-01-01"
"500-009682",14,"2022-01-01"
"500-056319",14,"2022-01-01"
"500-036800",14,"2022-01-01"
"500-007738",14,"2022-01-01"
"500-046960",14,"2022-01-01"
"500-055914",14,"2022-01-01"
"500-045723",14,"2022-01-01"
"500-048125",14,"2022-01-01"
"500-043031",14,"2022-01-01"
"500-050045",14,"2022-01-01"
"500-052624",14,"2022-01-01"
"500-039198",14,"2022-01-01"
"500-060311",14,"2022-01-01"
"500-021537",14,"2022-01-01"
"500-032543",14,"2022-01-01"
"500-036981",14,"2022-01-01"
"500-027225",14,"2022-01-01"
"500-009703",14,"2022-01-01"
"500-036430",14,"2022-01-01"
"500-006764",14,"2022-01-01"
"500-001854",14,"2022-01-01"
"500-012820",14,"2022-01-01"
"500-005496",14,"2022-01-01"
"500-003384",14,"2022-01-01"
"500-019934",14,"2022-01-01"
"500-046920",14,"2022-01-01"
"500-055954",14,"2022-01-01"
"500-060351",14,"2022-01-01"
"500-043071",14,"2022-01-01"
"500-050005",14,"2022-01-01"
"500-041610",14,"2022-01-01"
"500-052664",14,"2022-01-01"
"500-048165",14,"2022-01-01"
"500-006724",14,"2022-01-01"
